id,item 1,item 2,item 3,item 4,item 5,item 6,item 7,item 8,item 9,item 10,item 11,item 12,item 13,item 14,item 15,item 16,item 17
0,,Bread,,,Corn,Dill,,Ice cream,,,,,Sugar,,Yogurt,chocolate
1,,,,,,,,,,Milk,,,,,,
2,Apple,,Butter,,,Dill,,Ice cream,,Milk,,,,,Yogurt,chocolate
3,,,Butter,Cheese,,Dill,,,,Milk,Nutmeg,Onion,,,,
4,Apple,Bread,,,,,,,,,,,,,,
5,Apple,Bread,Butter,Cheese,,Dill,,Ice cream,,,Nutmeg,,,Unicorn,Yogurt,chocolate
6,,,Butter,,,,Eggs,Ice cream,Kidney Beans,Milk,Nutmeg,Onion,,,Yogurt,
7,Apple,,,Cheese,,,Eggs,,,,Nutmeg,,Sugar,,Yogurt,
8,Apple,,,,Corn,Dill,Eggs,Ice cream,,Milk,Nutmeg,Onion,Sugar,Unicorn,Yogurt,chocolate
9,Apple,,,,,Dill,Eggs,Ice cream,,Milk,,Onion,Sugar,Unicorn,,chocolate
10,Apple,Bread,,Cheese,,,,Ice cream,,,,,Sugar,Unicorn,,
11,Apple,Bread,,Cheese,,Dill,Eggs,Ice cream,Kidney Beans,,Nutmeg,,Sugar,,Yogurt,chocolate
12,,,,,,,,,,,,Onion,,Unicorn,,chocolate
13,,,,,,,,Ice cream,,,,,Sugar,,Yogurt,
14,,,Butter,,,,,,Kidney Beans,,,,,,,
15,,,,,,,,,,,,,,,Yogurt,
16,Apple,Bread,Butter,Cheese,,,,Ice cream,,,Nutmeg,,Sugar,,,
17,Apple,,,,,,Eggs,,,,,,,,Yogurt,chocolate
18,,Bread,,Cheese,,,,,Kidney Beans,,,,Sugar,,,
19,,Bread,,,Corn,,,Ice cream,Kidney Beans,Milk,Nutmeg,,Sugar,Unicorn,,
20,Apple,,,Cheese,,,,Ice cream,,,,,Sugar,Unicorn,,
21,Apple,,Butter,Cheese,,,,,Kidney Beans,,,,,Unicorn,Yogurt,
22,,Bread,,Cheese,,Dill,Eggs,Ice cream,Kidney Beans,Milk,,,,Unicorn,Yogurt,chocolate
23,,Bread,Butter,Cheese,,,Eggs,Ice cream,Kidney Beans,,,,Sugar,Unicorn,,chocolate
